artist,image,isNew,lastPos,peakPos,rank,title,weeks,date
Santana Featuring Rob Thomas,,False,1,1,1,Smooth,15,1999-10-31
Puff Daddy Featuring R. Kelly,,False,2,2,2,Satisfy You,7,1999-10-31
Mariah Carey Featuring Jay-Z,,False,3,1,3,Heartbreaker,10,1999-10-31
Lou Bega,,False,4,4,4,Mambo No. 5 (A Little Bit Of...),11,1999-10-31
TLC,,False,5,1,5,Unpretty,20,1999-10-31
Marc Anthony,,False,7,6,6,I Need To Know,9,1999-10-31
Whitney Houston,,False,8,7,7,My Love Is Your Love,10,1999-10-31
Brian McKnight,,False,12,8,8,Back At One,11,1999-10-31
Deborah Cox With R.L.,,False,9,8,9,We Can't Be Friends,9,1999-10-31
Len,,False,14,10,10,Steal My Sunshine,13,1999-10-31
Sugar Ray,,False,11,7,11,Someday,19,1999-10-31
Red Hot Chili Peppers,,False,10,9,12,Scar Tissue,23,1999-10-31
'N Sync & Gloria Estefan,,False,6,2,13,Music Of My Heart,10,1999-10-31
Britney Spears,,False,16,14,14,(You Drive Me) Crazy,8,1999-10-31
Christina Aguilera,,False,13,1,15,Genie In A Bottle,19,1999-10-31
702,,False,15,4,16,Where My Girls At?,28,1999-10-31
98 Degrees,,False,17,13,17,I Do (Cherish You),14,1999-10-31
Ideal,,False,21,18,18,Get Gone,12,1999-10-31
Jennifer Lopez,,False,25,19,19,Waiting For Tonight,4,1999-10-31
Donell Jones,,False,24,20,20,U Know What's Up,7,1999-10-31
Ricky Martin,,False,20,2,21,She's All I Ever Had,14,1999-10-31
Smash Mouth,,False,19,4,22,All Star,25,1999-10-31
Juvenile Featuring Mannie Fresh & Lil' Wayne,,False,22,22,23,Back That Thang Up,18,1999-10-31
R. Kelly,,False,18,12,24,If I Could Turn Back The Hands Of Time,11,1999-10-31
Jessica Simpson,,False,33,25,25,I Wanna Love You Forever,4,1999-10-31
Martina McBride,,False,29,26,26,I Love You,11,1999-10-31
Goo Goo Dolls,,False,23,16,27,Black Balloon,18,1999-10-31
Warren G Featuring Mack 10,,False,28,28,28,I Want It All,8,1999-10-31
Backstreet Boys,,False,30,29,29,Larger Than Life,8,1999-10-31
Q-Tip,,False,26,26,30,Vivrant Thing,17,1999-10-31
Shania Twain,,False,35,31,31,Man! I Feel Like A Woman!,26,1999-10-31
Sixpence None The Richer,,False,36,32,32,There She Goes,9,1999-10-31
Tal Bachman,,False,31,14,33,She's So High,21,1999-10-31
Eve,,False,39,34,34,Gotta Man,8,1999-10-31
Enrique Iglesias,,False,27,1,35,Bailamos,18,1999-10-31
Tim McGraw,,False,34,28,36,Something Like That,13,1999-10-31
Backstreet Boys,,False,37,6,37,I Want It That Way,29,1999-10-31
Destiny's Child,,False,38,38,38,Bug A Boo,7,1999-10-31
Eric Benet Featuring Tamia,,False,32,21,39,Spend My Life With You,19,1999-10-31
IMx,,False,43,40,40,Stay The Night,5,1999-10-31
"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",,False,40,40,41,Bling Bling,8,1999-10-31
Steve Wariner,,False,42,42,42,I'm Already Taken,9,1999-10-31
Savage Garden,,False,48,43,43,I Knew I Loved You,3,1999-10-31
Mandy Moore,,False,41,41,44,Candy,9,1999-10-31
George Strait,,False,45,45,45,What Do You Say To That,10,1999-10-31
Montgomery Gentry,,False,46,46,46,Lonely And Gone,15,1999-10-31
Will Smith Featuring K-Ci,,False,60,47,47,Will 2K,2,1999-10-31
Train,,False,54,48,48,Meet Virginia,5,1999-10-31
Lenny Kravitz,,False,49,49,49,American Woman,17,1999-10-31
Blaque,,False,63,50,50,Bring It All To Me,3,1999-10-31
LeAnn Rimes,,False,51,51,51,Big Deal,4,1999-10-31
Clint Black,,False,58,52,52,When I Said I Do,4,1999-10-31
John Michael Montgomery,,False,53,53,53,Home To You,6,1999-10-31
Ginuwine,,False,44,16,54,So Anxious,17,1999-10-31
Marc Nelson,,False,59,55,55,15 Minutes,6,1999-10-31
Creed,,False,52,52,56,Higher,9,1999-10-31
Fastball,,False,56,20,57,Out Of My Head,19,1999-10-31
Mint Condition,,True,0,58,58,If You Love Me,1,1999-10-31
Smash Mouth,,False,83,59,59,Then The Morning Comes,2,1999-10-31
Melissa Etheridge,,False,57,51,60,Angels Would Fall,8,1999-10-31
